service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS32025-hba35ns1-Weekday-02,1,1,1,1,1,0,0,20250814,20250822
BUS32025-hbb35017-Sunday-02,0,0,0,0,0,0,1,20250817,20250817
BUS32025-hbb35ns1-Weekday-02,1,1,1,1,1,0,0,20250814,20250822
BUS32025-hbc35017-Sunday-02,0,0,0,0,0,0,1,20250817,20250817
BUS32025-hbc35ns1-Weekday-02,1,1,1,1,1,0,0,20250814,20250822
BUS32025-hbf35ns1-Weekday-02,1,1,1,1,1,0,0,20250814,20250822
BUS32025-hbg35017-Sunday-02,0,0,0,0,0,0,1,20250817,20250817
BUS32025-hbg35ns1-Weekday-02,1,1,1,1,1,0,0,20250814,20250822
BUS32025-hbl35017-Sunday-02,0,0,0,0,0,0,1,20250817,20250817
BUS32025-hbl35ns1-Weekday-02,1,1,1,1,1,0,0,20250814,20250822
BUS32025-hbq35017-Sunday-02,0,0,0,0,0,0,1,20250817,20250817
BUS32025-hbq35ns1-Weekday-02,1,1,1,1,1,0,0,20250814,20250822
BUS32025-hbs35017-Sunday-02,0,0,0,0,0,0,1,20250817,20250817
BUS32025-hbs35ns1-Weekday-02,1,1,1,1,1,0,0,20250814,20250822
BUS32025-hbt35017-Sunday-02,0,0,0,0,0,0,1,20250817,20250817
BUS32025-hbt35ns1-Weekday-02,1,1,1,1,1,0,0,20250814,20250822
BUS42025-hbc45fr1-Weekday-02,0,0,0,0,1,0,0,20250829,20251212
BUS42025-hbc45wk1-Weekday-02,1,1,1,1,0,0,0,20250825,20251211
BUS42025-hbg45fr1-Weekday-02,0,0,0,0,1,0,0,20250829,20251212
BUS42025-hbg45wk1-Weekday-02,1,1,1,1,0,0,0,20250825,20251211
BUS42025-hbs45fr1-Weekday-02,0,0,0,0,1,0,0,20250829,20251212
BUS42025-hbs45sp1-Weekday-02,1,1,1,0,0,0,0,20251124,20251126
BUS42025-hbs45sp6-Saturday-02,0,0,0,0,0,1,0,20251122,20251129
BUS42025-hbs45sp7-Sunday-02,0,0,0,0,0,0,1,20251123,20251130
BUS42025-hbs45sw1-Weekday-02,1,1,1,1,0,0,0,20250825,20251211
BUS42025-hbs45sw6-Saturday-02,0,0,0,0,0,1,0,20250830,20251115
BUS42025-hbs45sw7-Sunday-02,0,0,0,0,0,0,1,20250824,20251116
Boat-EastBoston-Sa-LateNight-Fall-25,0,0,0,0,0,1,0,20250830,20250927
Boat-EastBoston-Saturday-Fall-25,0,0,0,0,0,1,0,20251004,20251129
Boat-EastBoston-Saturday-Summer-25,0,0,0,0,0,1,0,20250816,20250823
Boat-EastBoston-Sunday-Summer-25,0,0,0,0,0,0,1,20250817,20251130
Boat-EastBoston-Weekday-Fall-25,1,1,1,1,1,0,0,20250929,20251126
Boat-EastBoston-Weekday-Summer-25,1,1,1,1,0,0,0,20250814,20250925
Boat-F1-Saturday-Summer-25,0,0,0,0,0,1,0,20250816,20251011
Boat-F1-Sunday-Summer-25,0,0,0,0,0,0,1,20250817,20251012
Boat-F1-Weekday-Fall-25,1,1,1,1,1,0,0,20250929,20251212
Boat-F1-WeekdayModified-Summer-25,1,1,1,1,0,0,0,20250814,20250925
Boat-F4-Saturday-Fall-25,0,0,0,0,0,1,0,20251004,20251213
Boat-F4-Saturday-LateNight-Fall-25,0,0,0,0,0,1,0,20250830,20250927
Boat-F4-Saturday-Summer-25,0,0,0,0,0,1,0,20250816,20250823
Boat-F4-Sunday-Fall-25,0,0,0,0,0,0,1,20251207,20251207
Boat-F4-Sunday-Summer-25,0,0,0,0,0,0,1,20250817,20251130
Boat-F4-Weekday-Fall-25,1,1,1,1,1,0,0,20250929,20251212
Boat-F4-Weekday-Summer-25,1,1,1,1,0,0,0,20250814,20250925
Boat-F6-Weekday-Summer-25,1,1,1,1,1,0,0,20250814,20251126
Boat-F7-Weekday-Summer-25,1,1,1,1,1,0,0,20250814,20251126
Boat-F8-Saturday-Summer-25,0,0,0,0,0,1,0,20250816,20251011
Boat-F8-Sunday-Summer-25,0,0,0,0,0,0,1,20250817,20251012
Boat-Lynn-Saturday-Summer-25,0,0,0,0,0,1,0,20250816,20251011
Boat-Lynn-Sunday-Summer-25,0,0,0,0,0,0,1,20250817,20251012
Boat-Lynn-Weekday-Summer-25,1,1,1,1,1,0,0,20250814,20251126
CR-LowellNorthStation-Friday,0,0,0,0,1,0,0,20250815,20250822
CR-LowellNorthStation-Saturday,0,0,0,0,0,1,0,20250816,20250823
CR-LowellNorthStation-Sunday,0,0,0,0,0,0,1,20250817,20250824
CR-NECEmergencyShuttle-FbMntn-Weekday,1,1,1,1,1,0,0,20250814,20251212
DayafterThanksgivingDay,0,0,0,0,0,0,0,20251128,20251128
Fall/WinterWeekday,0,0,0,0,1,0,0,20250829,20250926
FallSaturday,0,0,0,0,0,1,0,20250830,20251213
FallSunday,0,0,0,0,0,0,1,20250824,20251207
FallWeekday,1,1,1,1,1,0,0,20250825,20251212
IndigenousPeoplesDay,0,0,0,0,0,0,0,20251013,20251013
LRV32025-hlb35011-Weekday-01,1,1,1,1,1,0,0,20250814,20250822
LRV32025-hlb35017-Sunday-01,0,0,0,0,0,0,1,20250817,20250817
LRV32025-hlm35011-Weekday-01,1,1,1,1,1,0,0,20250814,20250822
LRV32025-hlm35017-Sunday-01,0,0,0,0,0,0,1,20250817,20250817
LRV42025-hlb45011-Weekday-01,1,1,1,1,0,0,0,20250825,20251211
LRV42025-hlb45fr1-Weekday-01,0,0,0,0,1,0,0,20250829,20251212
LRV42025-hlb45hl7-Sunday-01,0,0,0,0,0,0,0,20250901,20250901
LRV42025-hlb45th7-Sunday-01,0,0,0,0,0,0,0,20251127,20251127
LRV42025-hlm45011-Weekday-01,1,1,1,1,0,0,0,20250825,20251211
LRV42025-hlm45fr1-Weekday-01,0,0,0,0,1,0,0,20250829,20251212
LaborDay-ThanksgivingDay,0,0,0,0,0,0,0,20250901,20251127
Orange-16-Saturday-d2200,0,0,0,0,0,1,0,20250823,20250823
Orange-16-Sunday-d2200,0,0,0,0,0,0,1,20250824,20250824
Orange-17-Saturday-d2200,0,0,0,0,0,1,0,20250823,20250823
Orange-17-Sunday-d2200,0,0,0,0,0,0,1,20250824,20250824
PRIV32025-hpa35011-Weekday-01,1,1,1,1,1,0,0,20250814,20250822
PRIV32025-hpj35011-Weekday-01,1,1,1,1,1,0,0,20250814,20250822
PRIV32025-hpj35017-Sunday-01,0,0,0,0,0,0,1,20250817,20250817
PRIV32025-hpp35017-Sunday-01,0,0,0,0,0,0,1,20250817,20250817
PRIV32025-hpp35ns1-Weekday-01,1,1,1,1,1,0,0,20250814,20250822
PRIV42025-hpa45011-Weekday-01,1,1,1,1,1,0,0,20250825,20251212
